SampleID,Reference,Reef,Site,Date,Bag,Species,Depth..m.,Bleach.score,Vial,Year,GPS.S,GPS.E
A001-24,6,Elizabeth,6,9/2/2024,6,Acropora,2.9,5,A001,24,29.93465,159.09326
A002-24,8,Elizabeth,6,9/2/2024,8,Acropora,3.9,5,A002,24,29.93465,159.09326
A003-24,52,Elizabeth,5,11/2/2024,53,Acropora,7.7,5,A003,24,29.91825,159.0603
A004-24,55,Elizabeth,5,11/2/2024,56,Acropora,8.1,6,A004,24,29.91825,159.0603
A005-24,56,Elizabeth,5,11/2/2024,57,Acropora,8.4,6,A005,24,29.91825,159.0603
A006-24,58,Elizabeth,5,11/2/2024,59,Acropora,8.1,6,A006,24,29.91825,159.0603
A007-24,59,Elizabeth,5,11/2/2024,60,Acropora,8.1,6,A007,24,29.91825,159.0603
A008-24,60,Elizabeth,5,11/2/2024,61,Acropora,7.4,5,A008,24,29.91825,159.0603
A009-24,63,Elizabeth,5,11/2/2024,64,Acropora,6.1,5,A009,24,29.91825,159.0603
A010-24,88,Elizabeth,3,11/2/2024,96,Acropora,9,5,A010,24,29.93283,159.02316
A011-24,86,Elizabeth,3,11/2/2024,92,Acropora,9,5,A011,24,29.93283,159.02316
A012-24,87,Elizabeth,3,11/2/2024,93,Acropora,9,5,A012,24,29.93283,159.02316
A013-24,92,Elizabeth,3,11/2/2024,100,Acropora,9,5,A013,24,29.93283,159.02316
A014-24,95,Middleton,3,12/2/2024,3,Acropora,4.2,5,A014,24,29.45993,159.0665
A015-24,99,Middleton,3,12/2/2024,7,Acropora,3.2,3,A015,24,29.45993,159.0665
A016-24,101,Middleton,3,12/2/2024,9,Acropora,3.5,5,A016,24,29.45993,159.0665
A017-24,104,Middleton,3,12/2/2024,12,Acropora,4.5,5,A017,24,29.45993,159.0665
A018-24,105,Middleton,3,12/2/2024,13,Acropora,3.9,5,A018,24,29.45993,159.0665
A019-24,107,Middleton,3,12/2/2024,15,Acropora,3.9,4,A019,24,29.45993,159.0665
A020-24,110,Middleton,3,12/2/2024,18,Acropora,5.8,4,A020,24,29.45993,159.0665
A021-24,119,Middleton,4,12/2/2024,27,Acropora,2.9,3,A021,24,29.4429,159.11502
A022-24,140,Middleton,2,12/2/2024,60,Acropora,3.5,5,A022,24,29.45295,159.08435
A023-24,156,Middleton,1,13/2/2024,76,Acropora,8.4,5,A023,24,29.4435,159.09756
A024-24,158,Middleton,1,13/2/2024,78,Acropora,6.8,6,A024,24,29.4435,159.09756
A025-24,160,Middleton,1,13/2/2024,80,Acropora,9,4,A025,24,29.4435,159.09756
A026-24,162,Middleton,1,13/2/2024,82,Acropora,9.7,4,A026,24,29.4435,159.09756
A027-24,168,Middleton,1,13/2/2024,88,Acropora,9,6,A027,24,29.4435,159.09756
A028-24,171,Middleton,1,13/2/2024,91,Acropora,8.4,5,A028,24,29.4435,159.09756
A029-24,172,Middleton,1,13/2/2024,92,Acropora,7.1,6,A029,24,29.4435,159.09756
A030-24,175,Middleton,1,13/2/2024,95,Acropora,7.1,5,A030,24,29.4435,159.09756
A031-24,229,Middleton,7,14/2/2024,127,Acropora,8.7,6,A031,24,29.45257,159.04985
