ITS2 type profile UID		1333589	1333234	1333000	1332873	1333795	1333796	1333561	1332930	1332959	1333731	1339629	1333235	1337449	1337455	1337451	1339604	1337456	1336462	1339579	1337452	1337664	1337551	1337733	1337402	1337168	1337447	1337732	1337641	1336878	1337735	1337759	1339559	1336489	1335852	1336877	1335865	1337411	1337158	1335890	1335891	1337437	1336803	1335660	1334511	1336948	1335679	1338394	1338250	1338116	1338430	1338619	1339309
Clade		A	A	A	A	A	A	A	A	A	A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	F
Majority ITS2 sequence		A1	A1gr/A1gd	A1	A1	A1qf	A1qe	A1	A1	A1	A2y	A1gd	A1	C3/C50b	C3k/C3	C3k/C3	C1	C3/C50b	C1/C21	C3bo	C3k/C3	C21/C21du	C21dw/C3	C50b	C3a/C21	C26/C21ac	C50b	C3k	C1p	C1	C21	C31	C3	C3	C21	C1	C31	C1	C21	C3	C3k	C21dw	C1	C15k	C50b	C3k	C1	D1	D1	D1	D1	D1	F4q
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		2	2	1	1	1	1	1	1	1	1	1	1	52	45	35	16	12	5	5	5	4	4	3	3	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15	3	2	1	1	1
ITS2 profile abundance DB		367	55	38	84	1	1	4	19	103	6	4	17	87	283	356	1721	118	222	50	25	17	4	42	133	31	63	46	5	118	65	16	11	10	10	3	5	43	11	6	4	26	25	28	39	94	26	30	315	15	50	5	1
ITS2 type profile		A1	A1/A1gr/A1gd	A1-A1eq-A1ep-A1hw	A1/A1g	A1qf	A1qe	A1-A1qd-A1qe	A1/A1cl	A1-A1bw-A1bf-A1bx-A1eb	A2y	A1gd	A1-A1gr-A1gd-A1mm-A1bf	C3/C50b-C3bm-C50f-C21-C3b-C3acq	C3k/C3-C50a-C3ba-C50f-C3dq-C21ab-C3a-C3b	C3k/C3-C50a-C3ba-C29-C21ab-C50f-C3dq-C3a	C1/C3-C1c-C1b-C72k-C3ju	C50b/C3-C3bm-C50f-C21-C3b-C21ba	C21/C1	C3bo/C3k/C3-C3bp-C50a-C3jq-C3a-C3dq	C3k/C3-C3ba-C3a-C50f-C3dq-C50a-C3acr-C50aj	C21du/C21	C21dw/C3-C21fc-C21fz-C26	C50b	C21/C3a	C26/C21ac	C50b-C3-C3bm-C50f-C21-C3b	C3k	C1p-C3ds-C1	C3k/C1/C3-C1c-C50a-C3dq-C1b-C3ba-C50y	C21	C31	C3fn/C3-C3fv-C115d	C50b/C3-C3k-C50a-C50f-C3ba	C31/C21	C3k/C1-C3-C50a-C3cz-C3ba	C31-C21-C21ac	C1/C7	C26/C21-C21ac-C50b	C3bo/C3/C3k-C50a-C3bp-C29	C3k-C3-C50a-C3jv-C21ab	C21dw/C21fc-C21fz-C21fh-C3-C21ac-C21fg-C21gb-C21ez-C21gc	C1-C21-C1c	C15h/C15k	C50b-C3-C3bh-C3bm-C50f	C3/C3k-C50a-C3.10-C3gj-C21-C21cf	C3k/C1/C3/C42.2-C50a-C1b	D1/D2.2/D4-D2	D1-D4-D2-D1u-D2.2	D1/D4-D2-D17c-D17d-D1r-D17e	D1-D17i-D4-D1r-D17s-D17r	D1/D17i	F4q
227305	I066-24	0	0	0	0	0	0	0	0	0	0	0	0	15168.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227289	I048-24	0	0	0	0	0	0	0	0	0	0	0	0	23967.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227286	I041-24	0	0	0	0	0	0	0	0	0	0	0	0	19766.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
