ITS2 type profile UID		1333235	1333234	1332876	1333562	1339536	1333154	1332957	1332962	1337451	1337455	1337449	1339579	1337456	1337452	1337402	1336940	1336462	1334567	1337732	1337733	1337351	1337759	1336878	1335502	1335251	1335514	1337447	1336437	1338730
Clade		A	A	A	A	A	A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D
Majority ITS2 sequence		A1	A1	A1h	A1	A1	A1	A1	A1	C3k/C3	C3k/C3	C3/C50b	C3bo/C3	C50b/C3	C3k/C3	C21/C3a	C3	C21	C42.2/C1	C3k	C50b	C3	C31	C1	C3	C3	C3k	C50b	C42.2	D1
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		8	6	2	2	1	1	1	1	193	90	35	17	15	13	8	5	3	2	1	1	1	1	1	1	1	1	1	1	1
ITS2 profile abundance DB		17	55	30	8	10	19	34	9	356	283	87	50	118	25	133	116	222	36	46	42	7	16	118	75	140	22	63	9	10
ITS2 type profile		A1-A1gr-A1gd-A1mm-A1bf	A1/A1gr/A1gd	A1/A1h-A1dl	A1-A1gr-A1mm	A1/A1gd-A1g	A1/A1gd	A1/A1bx-A1bw-A1bf	A1-A1ee-A1mm	C3k/C3-C50a-C3ba-C29-C21ab-C50f-C3dq-C3a	C3k/C3-C50a-C3ba-C50f-C3dq-C21ab-C3a-C3b	C3/C50b-C3bm-C50f-C21-C3b-C3acq	C3bo/C3k/C3-C3bp-C50a-C3jq-C3a-C3dq	C50b/C3-C3bm-C50f-C21-C3b-C21ba	C3k/C3-C3ba-C3a-C50f-C3dq-C50a-C3acr-C50aj	C21/C3a	C3-C3k-C50a-C3.10-C3gj-C3b-C21cf	C21/C1	C1/C42.2	C3k	C50b	C50b/C3-C21	C31	C3k/C1/C3-C1c-C50a-C3dq-C1b-C3ba-C50y	C3k/C3-C50a-C29-C21ab-C3b	C3f/C3ae/C3/C3fl-C50a-C3bj-C3h	C3k-C3-C50a-C29-C21ab-C50f-C3ba-C3dq	C50b-C3-C3bm-C50f-C21-C3b	C42.2/C1-C1b-C42u-C42a-C3-C115k-C115l	D1-D17i-D17s-D1r-D17r
227586	A130-24	0	0	0	0	0	0	0	0	71950.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227591	A135-24	0	0	0	0	0	0	0	0	71264.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227574	A120-24	0	0	0	0	0	0	0	0	70361.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227587	A131-24	0	0	0	0	0	0	0	0	62755.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227555	A104-24	0	0	0	0	0	0	0	0	46557.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227592	A136-24	0	0	0	0	0	0	0	0	78875.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227611	A155-24	0	0	0	0	0	0	0	0	57331.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227567	A113-24	0	0	0	0	0	0	0	0	63912.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227610	A154-24	0	0	0	0	0	0	0	0	61953.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227779	A320-24	0	0	0	0	0	0	0	0	40761.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227588	A132-24	0	0	0	0	0	0	0	0	60641.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227621	A165-24	0	0	0	0	0	0	0	0	62523.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227613	A157-24	0	0	0	0	0	0	0	0	43077.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227739	A280-24	0	0	0	0	0	0	0	0	45942.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227720	A261-24	0	0	0	0	0	0	0	0	24914.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227608	A152-24	0	0	0	0	0	0	0	0	58115.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227809	A350-24	0	0	0	0	0	0	0	0	84310.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227602	A146-24	0	0	0	0	0	0	0	0	51182.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227558	A106-24	0	0	0	0	0	0	0	0	54544.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227810	A351-24	0	0	0	0	0	0	0	0	62897.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227612	A156-24	0	0	0	0	0	0	0	0	63911.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227740	A281-24	0	0	0	0	0	0	0	0	59374.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227807	A348-24	0	0	0	0	0	0	0	0	60882.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227808	A349-24	0	0	0	0	0	0	0	0	60897.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227772	A313-24	0	0	0	0	0	0	0	0	44277.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227785	A326-24	0	0	0	0	0	0	0	0	49793.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227504	A056-24	0	0	0	0	0	0	0	0	50769.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227787	A328-24	0	0	0	0	0	0	0	0	52154.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227564	A111-24	0	0	0	0	0	0	0	0	57773.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227571	A117-24	0	0	0	0	0	0	0	0	61501.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227570	A116-24	0	0	0	0	0	0	0	0	37831.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227727	A268-24	0	0	0	0	0	0	0	0	54703.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227581	A126-24	0	0	0	0	0	0	0	0	64123.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227742	A283-24	0	0	0	0	0	0	0	0	46582.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227521	A071-24	0	0	0	0	0	0	0	0	55986.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
