ITS2 type profile UID		1333561	1332959	1333650	1333642	1333302	1333564	1332927	1332957	1332961	1333234	1333623	1337441	1337437	1336089	1337434	1337439	1337443	1337478	1336741	1337664	1337442	1337445	1337446	1337852	1337604	1337444	1336303	1336799	1336172	1337611	1336649	1337161	1338069	1336183	1334653	1336364	1338068	1337575	1337835	1337592	1335545	1335424	1336202	1336462	1335183	1336317	1337494	1335831	1334813	1336223	1334568	1337641	1337008	1336625	1335865	1336250	1336378	1337533	1337168	1338067	1336278	1335138	1336933	1334899	1337715	1336437	1337854	1338915	1339308	1339188	1339401	1339322	1339453
Clade		A	A	A	A	A	A	A	A	A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	F	F	G	G	G
Majority ITS2 sequence		A1	A1	A5	A4ac	A1	A4at	A1	A1	A1	A1	A1er	C21/C17	C21dw/C21fc	C31	C7ae/C7i	C17/C21	C15	C17	C15	C21du	C31	C31	C31/C21	C7i	C21gd	C15	C26	C26	C15	C17z/C21	C31/C21	C26	C15aag	C31	C15	C15	C17ba	C21dw	C93a	C15	C1/C3	C15do	C21	C21	C3	C3	C31	C15	C15	C15	C116	C1p	C15	C15	C31	C31	C17z	C42.2	C26	C7ae	C17	C42.2	C3	C3	C50a	C42.2	C3ig	D4	F2o	F3.1	G3a	G3a	G3fd
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		3	3	2	1	1	1	1	1	1	1	1	28	25	14	8	8	8	7	6	6	6	6	6	6	5	5	5	4	4	3	3	3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
ITS2 profile abundance DB		4	103	15	3	10	28	14	34	18	55	67	33	26	328	8	54	10	7	51	17	6	6	6	6	5	5	15	20	7	6	44	19	3	21	17	7	2	2	58	16	35	9	4	222	134	13	4	30	9	9	5	5	18	111	5	4	7	1	31	1	4	196	170	133	41	9	2	4	1	15	14	14	1
ITS2 type profile		A1-A1qd-A1qe	A1-A1bw-A1bf-A1bx-A1eb	A5	A4ac	A1-A1ey-A1bf-A1on-A1eb	A4at/A4dl	A1-A1du	A1/A1bx-A1bw-A1bf	A1-A1bw-A1du-A1bf-A1bx	A1/A1gr/A1gd	A1er	C21/C17-C17q-C21ac-C21aj-C21fd	C21dw/C21fc-C21fz-C21fh-C3-C21ac-C21fg-C21gb-C21ez-C21gc	C31-C21-C31d-C21ac-C21aj-C3	C7ae/C7i-C7af-C7ad	C17/C21-C21ac	C15-C15sw	C17-C21-C17ax-C17aw-C21ac-C17ay-C17av	C15-C15he-C15f-C15pg	C21du/C21	C31-C21-C31z-C21ac	C31-C21-C31z-C21ap	C31/C21-C31z-C31an-C21ac-C21ap	C7i	C21gd-C21-C17-C17az	C15-C116ch-C15sw	C26-C26g-C26f	C26/C21-C21ac-C21ek-C17-C21aj	C15-C15pg-C15aaf	C17z/C21-C21ac-C3	C31/C17d/C21-C17i-C21ac-C17	C26-C21-C21ac-C21ek	C15aag	C31-C17d-C31aj-C21-C31ak	C15/C15bq	C15-C15he-C15pg	C17ba	C21dw-C21fc-C21fz-C3	C93a	C15-C15v-C15he-C15lj	C1/C3/C42.2	C15h/C15do	C21/C17	C21/C1	C3/C1	C21/C3-C21k	C31-C21-C31ak-C31aj-C31ao-C31am	C15-C15ev	C15/C1/C1b	C15-C15mc	C116-C1-C42.2	C1p-C3ds-C1	C15-C15he-C15xv-C15f-C15ed-C15v	C15/C93a	C31-C21-C21ac	C31-C17d-C31am-C31al	C17z-C17aj-C21-C17-C21ac	C42.2-C1-C42u-C1b-C115k	C26/C21ac	C7ae	C17-C17ai	C1/C42.2/C42u-C1b-C42a-C1au-C115l-C115d-C1az	C3k/C3	C15/C3	C50a	C42.2/C1-C1b-C42u-C42a-C3-C115k-C115l	C3ig	D1/D4-D6-D1ab-D1qq	F2o	F3.1/F3k	G3a/G3ai	G3a/G3ac-G3ai	G3fd
227241	M249-24	0	0	0	0	0	0	0	0	0	0	0	46899.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227139	M093-24	0	0	0	0	0	0	0	0	0	0	0	28414.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227183	M165-24	0	0	0	0	0	0	0	0	0	0	0	44750.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227206	M200-24	0	0	0	0	0	0	0	0	0	0	0	35970.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227135	M089-24	0	0	0	0	0	0	0	0	0	0	0	37097.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2585.0	0	0	0	0	0	0	0	0	0	0
227220	M228-24	0	0	0	0	0	0	0	0	0	0	0	51318.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227222	M230-24	0	0	0	0	0	0	0	0	0	0	0	42742.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210.0	0	0
227181	M163-24	0	0	0	0	0	0	0	0	0	0	0	46968.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227217	M223-24	0	0	0	0	0	0	0	0	0	0	0	49812.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227142	M097-24	0	0	106.0	124.0	0	0	0	0	0	0	0	35277.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227209	M204-24	0	0	0	0	0	0	0	0	0	0	0	43139.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227182	M164-24	0	0	0	0	0	0	0	0	0	0	0	34937.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227131	M083-24	0	0	0	0	0	0	0	0	0	0	0	22194.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227188	M173-24	0	0	0	0	0	0	0	0	0	0	0	45865.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227240	M248-24	0	0	0	0	0	0	0	0	0	0	0	39560.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227215	M220-24	0	0	0	0	0	0	0	0	1457.0	0	0	48007.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227190	M175-24	0	0	0	0	0	0	0	0	0	0	0	12358.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227237	M245-24	0	0	0	0	0	0	0	0	0	0	0	38336.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227136	M090-24	0	0	0	0	0	0	0	0	0	0	0	21620.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180.0	0
227205	M199-24	0	0	0	0	0	0	0	0	0	0	0	36056.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227210	M206-24	0	0	0	0	0	0	0	0	0	0	0	47105.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227195	M180-24	0	0	0	0	0	0	0	0	0	0	0	41096.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6419.0	0	0	0
227203	M197-24	180.0	0	0	0	0	0	0	0	0	0	0	38602.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227211	M207-24	9795.0	0	0	0	0	0	0	0	0	0	0	44098.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227202	M195-24	0	2675.0	0	0	0	0	0	0	0	0	0	38987.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227191	M176-24	0	0	0	0	0	0	0	0	0	0	0	33921.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227216	M221-24	0	0	0	0	0	0	0	0	0	0	0	26944.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2825.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227096	M030-24	0	0	0	0	0	0	0	0	0	0	0	0	38597.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227105	M044-24	0	0	0	0	0	0	0	0	0	0	0	0	46581.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227095	M029-24	0	0	0	0	0	0	0	0	0	0	0	0	49720.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227086	M020-24	0	0	0	0	0	0	0	0	0	0	0	0	38659.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227084	M018-24	0	0	0	0	0	0	0	0	0	0	0	0	49870.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227074	M006-24	0	0	0	0	0	0	0	0	0	0	0	0	50557.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227119	M059-24	0	0	0	0	0	0	0	0	0	0	0	0	41805.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227100	M039-24	0	0	0	0	0	0	0	0	0	0	0	0	37813.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227123	M064-24	0	0	0	0	0	0	0	0	0	0	0	0	42898.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227109	M048-24	0	0	0	0	0	0	0	0	0	0	0	0	31583.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227078	M012-24	0	0	0	0	0	0	0	0	0	0	0	0	25848.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227102	M041-24	0	0	0	0	0	0	0	0	0	0	0	0	37103.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227117	M056-24	0	0	0	0	0	0	0	0	0	0	0	0	41857.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227085	M019-24	0	0	0	0	0	0	0	0	0	0	0	0	42104.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227098	M035-24	0	0	0	0	0	0	0	0	0	0	0	0	41034.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227106	M045-24	0	0	0	0	0	0	0	0	0	0	0	0	29352.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
